"Report ID","Category of Incident","Country of Incident","Date of Incident","Subject","Primary Source","Source Type","Additional Sources","Name of Organisation Providing Information","Transport Mode","Where Found","Method of Concealment","Method of Concealment - Details","Detection","Outcome","Number of People Arrested","Number of People Charged","Number of People Fined","Number of People Imprisoned","Amount of Fine","Currency of Fine","Fine in USD","Length of Imprisonment","Unit of Time"
"MOR11441","1. Seizure","Mexico","2014-08-26 00:00:00","1 Common box turtle seized at Guadalajara Airport, Mexico","http://archivo.unionjalisco.mx/articulo/2014/08/26/medio-ambiente/guadalajara/tortuga-seria-traficada-de-gdl-china","Media","","C4ADS Air Seizure Database","AIr","Other (please specify in Method of Concealment Details field)","","Turtles were concealed inside boxes on parcel service","","Confiscation","","","","","","","","",""
"MOR11498","9. Enforcement Action / Prosecution","United States of America","2010-12-22 00:00:00","Miami-Dade Man and Daughter plead guilty to smuggling pigeon eggs","http://articles.sun-sentinel.com/2010-12-23/news/fl-pigeon-eggs-seized-20101222_1_homing-pigeons-eggs-miami-dade-man","Media","","C4ADS Air Seizure Database","Air","","Wrapped","Eggs were found wrapped in cotton wool","","Charged - No further details","","","","","","","","",""
"MOR11509","1. Seizure","France","2011-12-13 00:00:00","Hundred birds seized at Charles de Gaulle airport and then euthanised","http://www.univers-nature.com/actualite/societe-lois-politique/des-oiseaux-congeles-vivants-a-l%C2%92aeroport-de-roissy-57574.html","Media","","C4ADS Air Seizure Database","Air","","","","","Confiscation","","","","","","","","",""
"MOR11510","1. Seizure","Mexico","2012-01-15 00:00:00","20 excotic birds seized at Tijuana Airport - 4 arrested","http://www.sandiegored.com/en/news/49729/Four-detained-with-20-exotic-birds-at-Tijuana-airport","Media","","C4ADS Air Seizure Database","Air","","","","","Arrest","","","","","","","","",""
"MOR11513","1. Seizure","United States of America","2012-06-27 00:00:00","9 finches seized at JFK Airport coming from Guyana, one man arrested","http://www.nydailynews.com/new-york/clip-bird-brain-jfk-9-finches-sleeve-article-1.1102965","Media","","C4ADS Air Seizure Database","Air","On Person","Under worn clothing","Birds were concealed inside toilet rolls and hidden up the mans sleeves","","Charged - No further details","","","","","","","","",""
"MOR11514","1. Seizure","United States of America","2012-06-03 00:00:00","A small song bird escaped on a plane and flys around the cabin, no one arrested","http://www.crash-aerien.news/forum/chasse-a-l-oiseau-a-bord-d-un-avion-de-china-airlines-t22264.html","Blog/Forum","","C4ADS Air Seizure Database","Air","","","The bird was detected as it had escaped on the plane","Other","Confiscation","","","","","","","","",""
"MOR11520","1. Seizure","France","2013-02-27 00:00:00","62 birds seized at Charles de Gaulle Airport coming from Mexico City","https://www.lpo.fr/communiques-de-presse/une-soixantaine-doiseaux-meurent-victimes-de-lindifference-des-services-publics-dp4","NGO","","C4ADS Air Seizure Database","Air","","","","","Confiscation","","","","","","","","",""
"MOR11529","1. Seizure","Cuba","2014-04-27 00:00:00","66 cuban grassquits seized at Ignacio Agramonte International Airport - 1 arrested","http://www.20minutes.fr/insolite/1388745-20140529-voulait-prendre-avion-66-oiseaux-froc","Media","","C4ADS Air Seizure Database","Air","On Person","Under worn clothing","Birds were hidden inside mans trousers","Routine Inspection","Confiscation & arrest","1","","","","","","","",""
"MOR11532","1. Seizure","Canada","2014-10-10 00:00:00","19 songbirds seized at Pearson International Airport - 1 convicted","http://ontariospca.ca/media-centre/media-releases/977-brampton-man-attempts-to-conceal-19-songbirds-during-visit-to-toronto-pearson-international-airport.html","NGO","","C4ADS Air Seizure Database","Air","On Person","Under worn clothing","Birds had been kept inside hair curlers that we contained on the inside of the suspects coat","","Conviction - court fine","1","1","1","","400","CAD Canadian Dollar","322.149","",""
"MOR11539","1. Seizure","Mexico","2016-11-24 00:00:00","73 birds seized at Mexico City International Airport - 3 arrested","http://www.profepa.gob.mx/innovaportal/v/9096/1/mx/profepa_e_interpol_detectan_a_traficantes_de_aves_silvestres_en_el_aeropuerto_internacional_de_la_ciudad_de_mexico.html","Government Agency (Other)","","C4ADS Air Seizure Database","Air","In Personal Baggage","Amongst other goods","Birds were concealed inside 10 plastic cages within suitcases","Investigation","Confiscation & arrest","3","","","","","","","",""
"MOR11559","1. Seizure","Mexico","2017-01-01 00:00:00","65 birds seized at Mexico City International Airport - 1 Spanish national","http://noticieros.televisa.com/ultimas-noticias/cdmx/2017-01-26/profepa-asegura-65-aves-silvestres-en-aeropuerto-de-la-cdmx/cdmx/","Media","","C4ADS Air Seizure Database","Air","In Personal Baggage","","Birds were found in five mesh cages","","Confiscation","","","","","","","","",""
"MOR11577","1. Seizure","Mexico","2017-03-26 00:00:00","168 birds seized at Cancun Airport, Mexico, destined for Germany","https://www.gob.mx/profepa/prensa/detienen-profepa-y-pgr-a-espanol-que-traficaba-168-aves-ocultas-en-una-maleta-con-destino-a-alemania","Government Agency (Other)","","C4ADS Air Seizure Database","Air","In Personal Baggage","Amongst other goods","Birds were found concealed inside suitcase","","Confiscation","","","","","","","","",""
"MOR11596","1. Seizure","Cayman Islands","2017-06-07 00:00:00","Wildlife seized in Grand Cayman after a sugar glider escapes on a plane","https://www.caymancompass.com/2017/06/11/arrests-made-for-exotic-pet-smuggling-after-possum-escapes-on-flight/","Open Source","","C4ADS Air Seizure Database","Air","Other (please specify in Method of Concealment Details field)","Other","Specimen was being carried inside the hand luggage of the suspects - however it was only discovered due to it escaping on the plane in the aircraft cabin. This seizure led to further investigation and resulted in confiscated of more wildlife being kept at the residence of the suspects involved","Other","Investigation ongoing","","","","","","","","",""
"MOR11635","9. Enforcement Action / Prosecution","United States of America","2010-11-13 00:00:00","2 arrested and sentenced for attempting to ship 4 rhino horns to Ireland","https://www.denverpost.com/2011/05/26/irish-nationals-sentenced-for-attempting-to-ship-rhino-horns-from-denver-area/","Media","","","Sea","","","","Test Purchase","Conviction - imprisonment","","2","","","","","","",""
"MOR1166","1. Seizure","United States of America","2011-01-31 00:00:00","314 animals seized in Coryell County, Texas - 2 charged","http://www.myfoxaustin.com/dpp/top_stories/Coryell-CO-Sheriff-Seizes-Hundreds-of-Animals-20110202-ktbcw","Media","http://www.kxxv.com/story/13951780/new-info-more-animals-some-dead-found-after-raid
http://kdhnews.com/copperas_cove/local/judge-rules-spca-s-seizure-of-animals-justified/article_a919d909-e59f-5ba3-8950-c89bd4429de8.html","","","In Premises (either domestic or business)","","","Investigation","Charged - No further details","2","2","","","","","","",""
"MOR11790","1. Seizure","Canada","2014-10-17 00:00:00","Jewelry made from ivory, rhino, lion and hawksbill seized at Vancouver International Airport - 1 convicted","http://bc.ctvnews.ca/woman-fined-75k-for-importing-jewelry-made-from-endangered-species-1.3316564","Media","https://www.newswire.ca/news-releases/smuggling-protected-animal-species-into-canada-nets-hefty-fine-for-british-columbia-resident-615691413.html","","Air","In Personal Baggage","","Speicmens were in her luggage","","Conviction - court fine","1","1","1","","75000","CAD Canadian Dollar","55943","",""
"MOR12012","9. Enforcement Action / Prosecution","Puerto Rico","2017-08-23 00:00:00","Owner of Arecibo Aquarium Business Pleads Guilty to Two Federal Lacey Act Felonies for Illicit Trafficking of Protected Corals","https://www.justice.gov/opa/pr/owner-arecibo-aquarium-business-pleads-guilty-two-federal-lacey-act-felonies-illicit","Open Source","","","","","","","Investigation","Charged - No further details","","1","","","","","","",""
"MOR12017","9. Enforcement Action / Prosecution","Uruguay","2017-09-20 00:00:00","Grand jury rules on three individuals from two company's in Los Angeles accused of trafficking coral","https://www.justice.gov/usao-cdca/pr/grand-jury-issues-indictments-alleging-three-schemes-smuggle-protected-coral-species","Open Source","https://www.justice.gov/usao-cdca/pr/inglewood-marine-wildlife-companies-plead-guilty-federal-criminal-charges-unlawfully","","Air","In Personal Baggage","Amongst other goods","Coral was hidden inside suitcases, in some cases it was concealed inside pringle cans","Investigation","Charged - No further details","","","","","","","","",""
"MOR12020","9. Enforcement Action / Prosecution","United States of America","2017-09-29 00:00:00","Restaurant owner in New York admits smuggling abalone and sea cucumber from Mexico","http://fox5sandiego.com/2017/09/29/restaurant-owner-admits-smuggling-abalone-sea-cucumber-from-mexico/","Media","","","Land - Vehicle","Inside Vehicle","Amongst other goods","Specimens were transported into the United States via a minivan with seafood hidden in three suitcases and a plastic bag","","Charged - No further details","","1","","","","","","",""
"MOR12024","1. Seizure","Mexico","2017-07-06 00:00:00","375 Totoaba swim bladders seized at Tijuana International Airport","http://www.excelsior.com.mx/nacional/2017/07/08/1174469&prev=search","Media","","","Air","In Personal Baggage","Amongst other goods","Speicmens were found in six suitcases that had been abandoned at the airport","Targeting","Confiscation","","","","","","","","",""
"MOR12029","9. Enforcement Action / Prosecution","United States of America","2014-05-30 00:00:00","2 convicted for trafficking Asian arowana fish","https://www.justice.gov/usao-sdca/pr/online-merchant-convicted-trafficking-endangered-fish","Government Agency (Other)","https://www.latimes.com/local/lanow/la-me-ln-asian-fish-20140530-story.html","","","","","","","Conviction","2","2","2","","2000","USD US Dollar","2000","",""
"MOR12031","1. Seizure","Mexico","2017-07-25 00:00:00","Fur seal found in a suspicious package on a private housing estate in Félix Ireta, Mexico","http://www.lavozdemichoacan.com.mx/morelia/abandonan-un-lobo-marino-en-la-colonia-felix-ireta/&prev=search","Media","Robin Des Bois On the Trail No.18 - 24/11/2017","","","Other (please specify in Method of Concealment Details field)","","Seal was found concealed inside a cardboard box - suspiscions were aroused by residents of the housing estate who altered police","Other","Confiscation","","","","","","","","",""
"MOR12033","9. Enforcement Action / Prosecution","United States of America","2017-07-06 00:00:00","NYU Student Sentenced to 45 Days in Jail for Albatross Murders","https://www.nyunews.com/2017/07/07/nyu-student-sentenced-to-45-days-in-jail-for-albatross-murders/","Open Source","http://khon2.com/2017/07/06/man-receives-45-day-sentence-for-killing-federally-protected-seabirds/","","","","","","","Conviction - court fine & imprisonment","","1","1","1","1000","USD US Dollar","1000","45","Days"
"MOR12039","1. Seizure","Mexico","2017-12-20 00:00:00","One scarlet macaw seized from the city of Tapachula","https://www.gob.mx/profepa/es/prensa/rescata-profepa-un-ejemplar-de-guacamaya-roja-en-tapachula-chiapas?idiom=es","Government Agency (Other)","","","","Other (please specify in Method of Concealment Details field)","","Macaw was walking down the street - it had either been abandoned or escaped","","Confiscation","","","","","","","","",""
"MOR12040","1. Seizure","Mexico","2017-12-19 00:00:00","One white lion seized from Cape San Lucas, trasnferred to big cat sanctuary, owner fined","https://www.gob.mx/profepa/es/prensa/traslada-profepa-un-leon-blanco-de-cabo-san-lucas-a-santuario-en-la-cdmx-para-su-conservacion?idiom=es","Government Agency (Other)","","","","","","","","Conviction - court fine","","1","","","420940","MXN Mexican Peso","21892.9","",""
